,Player,pts,match_count,elo,match_count_indoor_hard,elo_indoor_hard,match_count_indoor_carpet,elo_indoor_carpet,match_count_indoor_clay,elo_indoor_clay,match_count_outdoor_hard,elo_outdoor_hard,match_count_outdoor_clay,elo_outdoor_clay,match_count_outdoor_grass,elo_outdoor_grass
73,Kohlschreiber P.,1080,819,1638.465408459257,132,1559.3656928105406,18,1528.2820042928943,0,1500.0,283,1580.3117112878035,285,1646.902428882539,101,1556.9133745046324
74,Robredo T.,2175,867,1684.3947372823914,83,1615.1349766355415,35,1508.645957255364,2,1472.1104653549946,313,1600.4722539620175,380,1743.7496856542662,54,1575.4737989485818
75,Ancic M.,1940,314,1723.3527075966508,52,1589.340918151595,40,1595.0959922018253,0,1500.0,117,1631.452907710158,55,1658.2618099958365,50,1717.787051839071
76,Seppi A.,513,762,1538.9216434334353,142,1513.5433871304685,19,1397.4580837715696,0,1500.0,250,1561.1377103222896,243,1624.3019431193586,108,1597.4625116217233
77,Karlovic I.,1760,695,1692.8232693562518,124,1610.563535498776,24,1511.6920690684942,0,1500.0,293,1565.3806209083614,136,1570.2963767517979,118,1637.8892058545562
78,Blake J.,2130,573,1732.2333297321934,92,1622.4998014365954,23,1538.6880955230508,0,1500.0,323,1722.5975803887482,79,1497.3730773892107,56,1541.5799669183527
79,Serra F.,665,293,1524.390557461673,40,1467.8059465578754,16,1423.9249108736324,0,1500.0,107,1495.6798030705932,104,1564.4791797546563,26,1446.135948037538
80,Murray A.,955,952,1942.0063664462052,164,1865.6664824023685,24,1645.667525225137,0,1500.0,478,1939.8117082747142,151,1932.826517740236,135,1829.6044281152197
81,Luczak P.,586,116,1371.7383218991074,8,1458.1772102852806,0,1500.0,0,1500.0,46,1376.6574959759585,54,1387.486408855759,8,1506.119884840224
82,Jones A.,344,11,1426.3630499169078,0,1500.0,0,1500.0,0,1500.0,11,1425.9987355954804,0,1500.0,0,1500.0
83,Guccione C.,471,89,1411.263194216899,10,1485.5866193821876,1,1490.5112199116336,0,1500.0,54,1460.8819658980556,8,1443.2896437617383,16,1416.5612937733981
84,Djokovic N.,3320,1243,2023.533760382348,193,1944.955619546541,13,1505.9842111205592,0,1500.0,582,2150.26870325949,327,1945.8367466667012,128,2031.6424305714731
85,del Potro J.M.,2435,587,1883.038642261996,115,1802.242296134885,13,1556.6295226784537,0,1500.0,295,1861.554434560348,112,1849.828202643011,52,1697.7127647452487
86,Kunitsyn I.,348,231,1583.1584266413024,37,1424.0367377058983,27,1565.0042809773142,0,1500.0,101,1516.6898428994332,29,1405.4450130605094,37,1399.004275664884
87,Simon G.,295,872,1719.8877378217785,216,1656.071681614525,15,1487.762145911566,1,1484.736306793522,294,1658.0571530895552,255,1720.24753647187,91,1638.9844062839675
88,Querrey S.,2525,678,1631.6444913134585,82,1595.2622359200948,5,1469.415390834174,0,1500.0,367,1614.8407891722554,101,1454.680806935212,123,1692.931330201818
89,Sirianni J.,315,20,1441.612512916451,0,1500.0,0,1500.0,0,1500.0,15,1475.3499090756102,0,1500.0,5,1457.1290912066788
90,Russell M.,601,224,1413.3044762743118,33,1463.8673676084231,1,1485.4956831243753,0,1500.0,110,1448.7671420025783,47,1364.2125563642073,33,1413.7155306790537
91,Becker B.,525,370,1572.614907021052,91,1497.9772229221212,6,1501.004179706381,0,1500.0,162,1534.75296364807,45,1367.850497938083,66,1517.0134943542862
