,P1==Winner,P1_wins_proba_elo,P1_pts,P2_pts,field_type==indoor_hard,P1_wins_proba_elo_indoor_hard,field_type==outdoor_hard,P1_wins_proba_elo_outdoor_hard,field_type==outdoor_clay,P1_wins_proba_elo_outdoor_clay,field_type==outdoor_grass,P1_wins_proba_elo_outdoor_grass
35216,False,0.5852599831685847,438,1195,0,0.4690844082815171,0,0.2095166051463253,0,0.5963661127470976,1,0.3501531293731126
35221,False,0.6560167097732167,437,443,0,0.4251244173758485,0,0.33258520572491634,0,0.5797303072944878,1,0.37073675453510235
35217,False,0.3611678241424843,830,665,0,0.49692578845819535,0,0.6980419125190986,0,0.5543404781189814,1,0.6024100595285486
35224,True,0.3898113590613582,630,845,0,0.6431256238193053,0,0.3389245629946568,0,0.660392954393323,1,0.5227965082447364
35222,False,0.5500157233703298,262,524,0,0.5420491239288256,0,0.4603959709507074,0,0.6210051870182627,1,0.4184252629822578
35216,True,0.41474001683141526,1195,438,0,0.5309155917184829,0,0.7904833948536747,0,0.4036338872529024,1,0.6498468706268874
35221,True,0.3439832902267833,443,437,0,0.5748755826241515,0,0.6674147942750837,0,0.4202696927055122,1,0.6292632454648976
35222,True,0.4499842766296702,524,262,0,0.4579508760711743,0,0.5396040290492926,0,0.3789948129817374,1,0.5815747370177422
35224,False,0.6101886409386418,845,630,0,0.35687437618069473,0,0.6610754370053432,0,0.339607045606677,1,0.47720349175526355
35217,True,0.6388321758575157,665,830,0,0.5030742115418047,0,0.3019580874809013,0,0.4456595218810186,1,0.3975899404714514
35226,True,0.18606310582280383,475,480,0,0.6438735407853045,0,0.7366302386029734,0,0.6656106510948783,1,0.832805169514846
35232,False,0.2938827021093352,595,0,0,0.7361175243100235,0,0.5408612039297679,0,0.7019759106205146,1,0.5904155510480773
35226,False,0.8139368941771962,480,475,0,0.35612645921469555,0,0.2633697613970266,0,0.33438934890512173,1,0.16719483048515404
35232,True,0.7061172978906648,0,595,0,0.2638824756899764,0,0.4591387960702321,0,0.2980240893794854,1,0.4095844489519227
35241,False,0.3751569025860177,535,1200,0,0.34240773993032103,0,0.48402600099326243,0,0.7511801950393554,1,0.4785851591090391
35253,False,0.7658517497659217,143,0,0,0.5761630785985841,0,0.33970356696625403,0,0.2407709024390121,1,0.4044058020870369
35243,True,0.584204816790604,671,197,0,0.434542550323433,0,0.4927605020220653,0,0.3593800877956926,1,0.5259274396737562
35241,True,0.6248430974139823,1200,535,0,0.657592260069679,0,0.5159739990067376,0,0.2488198049606446,1,0.5214148408909609
35239,True,0.8296576624895629,350,814,0,0.3350187210412464,0,0.4625535890131438,0,0.3605185654947868,1,0.2839939821140739
35253,True,0.23414825023407826,0,143,0,0.4238369214014159,0,0.660296433033746,0,0.7592290975609879,1,0.5955941979129631
35246,False,0.4894320745151457,605,25,0,0.5773814564249184,0,0.21427885158108384,0,0.5280286820387555,1,0.48342146894923255
35247,True,0.28978176404628575,239,408,0,0.6736391547790795,0,0.7287266395804401,0,0.5452598867155333,1,0.6554308027779286
35246,True,0.5105679254848543,25,605,0,0.4226185435750816,0,0.7857211484189162,0,0.4719713179612445,1,0.5165785310507675
35243,False,0.415795183209396,197,671,0,0.565457449676567,0,0.5072394979779347,0,0.6406199122043075,1,0.4740725603262438
35247,False,0.7102182359537142,408,239,0,0.32636084522092046,0,0.27127336041955985,0,0.45474011328446673,1,0.34456919722207136
35250,False,0.5375971085388246,385,805,0,0.34364615249471553,0,0.5887348690373292,0,0.5771411035512231,1,0.4355224762191926
35251,True,0.5965673824339348,21,3050,0,0.3163608674654323,0,0.2144546459197314,0,0.2887976545702048,1,0.5857787817717499
35234,False,0.4475719530360502,876,0,0,0.6178176251657304,0,0.7339102685164582,0,0.5987104769956271,1,0.5248263704211008
35239,False,0.1703423375104372,814,350,0,0.6649812789587536,0,0.5374464109868562,0,0.6394814345052132,1,0.7160060178859261
35250,True,0.4624028914611754,805,385,0,0.6563538475052845,0,0.4112651309626708,0,0.422858896448777,1,0.5644775237808074
35251,False,0.4034326175660652,3050,21,0,0.6836391325345677,0,0.7855453540802686,0,0.7112023454297952,1,0.4142212182282501
35234,True,0.5524280469639498,0,876,0,0.3821823748342697,0,0.2660897314835417,0,0.4012895230043729,1,0.4751736295788992
35260,True,0.8290788479329917,469,820,0,0.1571483236805364,0,0.2752405624569685,0,0.0948492049895082,1,0.4076273347613408
35261,False,0.8197025265308885,97,2585,0,0.2196857518712696,0,0.2094453788574817,0,0.274781606400907,1,0.28539007886606904
35281,False,0.846783675885184,373,1355,0,0.5022802802830496,0,0.19863361773320354,0,0.1420888520412249,1,0.37213590834421706
35292,True,0.2978741057838177,443,789,0,0.5981241612911902,0,0.5600097745733452,0,0.5124585126076582,1,0.6554063930761652
35290,True,0.2743812085741647,1200,74,0,0.624163127338081,0,0.6830356310892258,0,0.5166962568948414,1,0.6835811371426139
35269,True,0.8820998182028914,399,875,0,0.4690317773945774,0,0.2799628780516027,0,0.1044520433887847,1,0.3345091499438857
35280,True,0.7128542203613527,150,591,0,0.5449554398833667,0,0.2479578371817185,0,0.4167440986713925,1,0.2900451392229457
35271,False,0.2671778000437624,4680,554,0,0.601427240218604,0,0.8172541855391751,0,0.7724783744988661,1,0.5915693575759865
35278,True,0.25633844038960985,830,585,0,0.6002203808692667,0,0.5934787955246128,0,0.5018604725580235,1,0.7269553345413248
35289,False,0.866037531444042,485,9235,0,0.1552655922900884,0,0.07044507357592178,0,0.05735077426896318,1,0.24984883738038577
35286,True,0.11412201168361957,475,0,0,0.7686216552451216,0,0.8147222756088297,0,0.8042960581696315,1,0.8270803319663599
35280,False,0.2871457796386473,591,150,0,0.4550445601166333,0,0.7520421628182815,0,0.5832559013286075,1,0.7099548607770543
35278,False,0.7436615596103902,585,830,0,0.39977961913073334,0,0.4065212044753872,0,0.49813952744197654,1,0.27304466545867523
35271,True,0.7328221999562377,554,4680,0,0.3985727597813959,0,0.1827458144608249,0,0.2275216255011339,1,0.4084306424240135
35269,False,0.1179001817971086,875,399,0,0.5309682226054226,0,0.7200371219483973,0,0.8955479566112153,1,0.6654908500561143
35281,True,0.153216324114816,1355,373,0,0.4977197197169504,0,0.8013663822667965,0,0.8579111479587751,1,0.6278640916557829
35282,True,0.2816985513755107,537,350,0,0.4685630889556426,0,0.6530765030523631,0,0.6371546710003091,1,0.5728898654980182
35284,True,0.7248501144433591,665,1280,0,0.4600878204458593,0,0.3571079175101261,0,0.2077708088904851,1,0.4711735710005842
35284,False,0.2751498855566409,1280,665,0,0.5399121795541407,0,0.6428920824898738,0,0.792229191109515,1,0.5288264289994158
35260,False,0.1709211520670083,820,469,0,0.8428516763194636,0,0.7247594375430315,0,0.9051507950104918,1,0.5923726652386592
35261,True,0.1802974734691115,2585,97,0,0.7803142481287304,0,0.7905546211425183,0,0.725218393599093,1,0.714609921133931
35287,False,0.5443937354394935,1195,524,0,0.5329110512257786,0,0.4923028029189346,0,0.5658081909058188,1,0.43528732807159176
35292,False,0.7021258942161823,789,443,0,0.40187583870880983,0,0.4399902254266548,0,0.4875414873923418,1,0.3445936069238348
35290,False,0.7256187914258353,74,1200,0,0.375836872661919,0,0.3169643689107742,0,0.48330374310515856,1,0.3164188628573861
35289,True,0.13396246855595795,9235,485,0,0.8447344077099116,0,0.9295549264240782,0,0.9426492257310368,1,0.7501511626196142
35287,True,0.45560626456050646,524,1195,0,0.4670889487742214,0,0.5076971970810654,0,0.4341918090941812,1,0.5647126719284082
35286,False,0.8858779883163804,0,475,0,0.2313783447548784,0,0.1852777243911703,0,0.19570394183036854,1,0.17291966803364012
35282,False,0.7183014486244893,350,537,0,0.5314369110443574,0,0.3469234969476369,0,0.3628453289996909,1,0.42711013450198176
35309,True,0.3541042585217943,0,0,0,0.4780012994785012,0,0.3466830032073721,0,0.5379305584258834,1,0.6432136056149504
35311,True,0.6759926335508855,469,830,0,0.2759132625583843,0,0.4528218937129166,0,0.4750222559454721,1,0.3139120217472323
35313,False,0.7057906108157782,25,106,0,0.4923624278605161,0,0.6682905204736627,0,0.1826810382999975,1,0.40354801666767914
35314,True,0.11091897263688977,475,0,0,0.7674929599020649,0,0.7696161817908288,0,0.8679708160074772,1,0.7806571196979641
35306,False,0.1575897990737688,1255,611,0,0.41641485931840927,0,0.7360494367570959,0,0.8818930437752974,1,0.6348115539394599
35305,True,0.5054214376283084,239,21,0,0.7332502058345792,0,0.7206650702265529,0,0.3921231854119003,1,0.5745784917864665
35304,True,0.7644634416183461,0,2560,0,0.4479623803596286,0,0.2633516862206948,0,0.1839706271898432,1,0.5787925690066524
35303,False,0.6778948834279125,1700,1405,0,0.39237171962723594,0,0.481421795845673,0,0.32354125850484694,1,0.4248727037530108
35302,True,0.6907985469403095,805,2585,0,0.3197156755544034,0,0.3284505370405234,0,0.3580545217682795,1,0.3656232323111358
35300,True,0.7632832320419736,671,41,0,0.4680647131724967,0,0.3345661004442524,0,0.1255458014337467,1,0.5343530357932768
