,Player,pts,match_count,elo
518,Otte O.,806,78,1504.8053645049258
519,Gombos N.,443,66,1412.7760254486614
520,Watanuki Y.,722,31,1489.7302096427236
521,Etcheverry T.,1380,86,1550.0475464539195
522,Cerundolo F.,1431,127,1627.2366974912582
523,Svrcina D.,378,5,1481.6856604265208
524,Holt B.,232,8,1444.7294288163112
525,Couacaud E.,280,10,1445.9763494337128
526,De Jong J.,235,6,1454.8445780544278
527,Gaston H.,701,69,1578.9449675308178
528,Mensik J.,305,10,1598.3211899111488
529,Kovacevic A.,422,23,1496.8874663113172
530,Zhang Zh.,507,64,1595.7699808351379
531,Michelsen A.,481,24,1567.6813126494806
532,Cazaux A.,508,12,1480.1815853385913
533,Zeppieri G.,328,17,1463.9947536091242
534,Nagal S.,264,19,1407.611352117107
535,Agassi A.,2275,353,1820.4503641602512
536,Alami K.,0,75,1437.5205867557954
537,Black W.,0,39,1520.5395773587752
538,Hill M.,0,3,1484.698656158185
539,Kroslak J.,0,18,1448.6105107105996
540,Pretzsch A.,0,21,1430.2673519828154
541,Sampras P.,0,138,1875.3313589048207
542,Stafford G.,0,2,1501.4723064880898
543,Tieleman L.,0,29,1430.8107037282707
544,Ullyett K.,0,7,1452.7826800725236
545,Woodforde M.,0,10,1452.8714213112426
546,Woodruff C.,0,70,1505.5894324756978
547,Burgsmuller L.,348,178,1444.016158463709
548,Nestor D.,0,26,1430.535673408065
549,Popp A.,147,108,1474.6751698744724
550,Prinosil D.,0,77,1569.566817824943
551,Rafter P.,0,103,1755.2480795542606
552,Sa A.,161,122,1516.6625177520807
553,Siemerink J.,0,52,1399.730903767144
554,Bachelot J.F,0,8,1485.486295288406
555,Delgado R.,370,83,1543.029017227247
556,Gaudenzi A.,0,107,1474.766694407252
557,Hipfl M.,0,90,1405.760119319229
558,Savolt A.,0,73,1448.6332330934265
559,Simoni A.,0,30,1430.5467731435037
560,Furlan R.,0,18,1452.3202294727796
561,Crabb J.,0,8,1428.8340954537164
562,Kutsenko V.,0,10,1465.5451723527092
563,Larkham T.,0,7,1464.2425669361312
564,Blanco G.,122,148,1471.9486141691775
565,Morrison J.,260,85,1507.5316404592004
566,Vacek J.,132,88,1471.8219838290504
567,Suzuki T.,6,37,1599.9109671935053
568,Ventura S.,452,97,1449.1530997585758
569,Wang Y.T.,304,40,1484.173907186972
570,Faurel J.C.,288,9,1441.5558612489504
571,Horna L.,590,250,1556.5518208374772
572,Norman D.,442,54,1365.9802905602392
573,Pashanski B.,472,72,1478.9191078219055
574,Fleishman Z.,302,24,1442.531914083888
575,Udomchoke D.,397,69,1389.9395535270369
576,Smeets R.,255,9,1432.9389584298992
577,Capdeville P.,414,102,1460.9182543461322
578,Kuznetsov A.,257,26,1395.335740701626
579,Bozoljac I.,186,25,1413.5131263997175
580,Warburg S.,255,15,1478.8516158685497
581,Hernandez O.,633,190,1392.232083293143
582,Dabul B.,424,42,1435.8884761367776
583,de Chaunac S.,50,33,1477.9844944879592
584,Karanusic R.,231,50,1389.4380167852653
585,Golubev A.,1145,158,1563.7267832763134
586,Sorensen L.,34,6,1470.7681000786472
587,Sergeyev I.,225,2,1506.2498634888739
588,Ilhan M.,570,74,1403.6445407798458
589,Schwank E.,778,98,1478.4448571890787
590,Riba P.,630,85,1382.9145024653667
591,Rufin G.,589,44,1483.2466680258835
592,Gimeno-Traver D.,684,263,1418.1438040887488
593,Smyczek T.,510,128,1445.64169608075
594,Weintraub A.,260,6,1446.164724999538
595,Przysiezny M.,313,78,1441.0863061528732
596,Rola B.,638,27,1428.7504314940243
597,Millot V.,189,30,1407.7432766425927
598,Gonzalez A.,470,46,1384.6250714149464
599,Rubin N.,418,29,1427.4337930769618
600,Jasika O.,24,5,1478.6806258860993
601,Trungelliti M.,212,33,1444.8621868119085
602,Estrella Burgos V.,767,109,1466.5323077211685
603,Whittington A.,295,5,1487.503590915938
604,Escobedo E.,487,58,1452.7675410996358
605,Bemelmans R.,434,72,1516.2896761856707
606,Kicker N.,558,47,1468.9522448602552
607,Varillas J.P.,779,35,1529.5627735796138
608,Ficovich J.P.,277,3,1485.2928994132515
609,Milojevic N.,305,14,1502.584079476524
610,Zapata Miralles B.,704,93,1450.8701885804549
611,Darderi L.,321,10,1547.8891146529988
612,Barrios M.,525,13,1455.0918444663907
613,Dellien H.,693,74,1411.802423256394
614,Mayot H.,348,10,1524.6809529101488
