,Player,pts,match_count,elo,match_count_indoor_hard,elo_indoor_hard,match_count_indoor_carpet,elo_indoor_carpet,match_count_indoor_clay,elo_indoor_clay,match_count_outdoor_hard,elo_outdoor_hard,match_count_outdoor_clay,elo_outdoor_clay,match_count_outdoor_grass,elo_outdoor_grass
118,Berankis R.,809,249,1596.0954277902722,67,1542.7734756770608,0,1500.0,0,1500.0,122,1477.1385538604661,36,1355.2681084906162,24,1398.7612596118327
119,Fish M.,2965,500,1704.8954568537258,74,1629.7697497947645,14,1478.8871409680987,0,1500.0,287,1687.3759323820764,53,1487.206461501061,72,1598.562119066578
120,Duckworth J.,487,152,1554.9140940394357,22,1552.1474168033942,0,1500.0,0,1500.0,93,1429.4955117641111,14,1434.1675224556627,23,1456.1536357751404
121,Tomic B.,386,349,1548.5693702041997,36,1435.6474373483504,0,1500.0,0,1500.0,182,1610.098779593158,68,1509.675459717224,63,1578.0676838700836
122,Muller G.,1255,399,1625.336806477835,71,1566.9112173948358,7,1462.0951908667994,0,1500.0,188,1635.6670751661877,54,1506.3196323927177,79,1627.3540432961688
123,Ito T.,473,84,1461.4405105002406,10,1482.2455200752006,0,1500.0,0,1500.0,46,1412.3402701233215,9,1474.256028959294,19,1489.592504904748
124,Petzschner P.,585,189,1585.967690634684,50,1579.41048484951,2,1468.154988154821,0,1500.0,60,1490.0010797880389,39,1390.4771340717052,38,1538.2493295173338
125,Andreev I.,415,432,1612.399355308949,31,1407.0744157306583,28,1532.8020019652652,2,1500.0,141,1619.391197915779,197,1700.933074100865,33,1503.1650267786185
126,Millman J.,1205,256,1618.1353282570012,43,1500.0680514315986,0,1500.0,0,1500.0,135,1628.9145593920568,47,1440.3966121150306,31,1519.2436880455714
127,Dimitrov G.,1460,690,1875.416402515084,145,1769.4942522414456,0,1500.0,0,1500.0,316,1732.511161030029,157,1659.0212995753488,72,1629.7524883641565
128,Goffin D.,2975,528,1796.48243011165,123,1674.2343210916272,0,1500.0,0,1500.0,209,1826.3178757315259,143,1740.4464330339488,53,1642.6605815802927
129,Matosevic M.,808,155,1570.3064380968524,21,1522.2017538408704,0,1500.0,0,1500.0,88,1519.5572765635713,26,1428.3742563767717,20,1455.25005570643
130,Cilic M.,2140,859,1716.637125848253,166,1630.5773688701258,21,1559.571288150929,0,1500.0,353,1681.0471430691507,209,1673.2661647001378,110,1819.1779536374133
131,Mahut N.,324,403,1530.4768183534595,98,1494.8460171728132,18,1406.7515474295083,0,1500.0,123,1494.6669800122904,56,1440.031026446227,108,1588.485670824703
132,Chardy J.,1110,593,1616.0155349529614,85,1544.715443558516,6,1496.9231747556566,3,1484.7347485663738,240,1568.380159588875,196,1564.3133673766556,63,1495.2204476874097
133,Copil M.,608,128,1615.2102619102047,38,1570.4931751429547,0,1500.0,0,1500.0,44,1490.2632743073252,31,1365.2341807891758,15,1439.0989562749592
134,Groth S.,843,93,1537.3672569486646,7,1467.5465026671518,0,1500.0,0,1500.0,52,1454.04217183827,9,1501.3682496628,25,1540.6614649128433
135,Kokkinakis T.,664,138,1498.149659818941,4,1432.2752817281548,0,1500.0,0,1500.0,106,1498.9597483368836,18,1503.2073829677029,10,1511.6843619639305
136,Kukushkin M.,930,355,1663.7897947790782,96,1603.410274880416,4,1469.727071437409,0,1500.0,135,1563.9804567605559,82,1396.0850666321305,38,1506.8252770936335
137,Johnson S.,1190,397,1595.3535949907234,40,1467.1900336021529,0,1500.0,0,1500.0,223,1594.0955012807224,66,1583.8791833117002,68,1627.6644435814276
138,Klizan M.,1230,273,1519.0534448032963,56,1492.2073906487913,0,1500.0,6,1501.0748655511572,81,1504.361070360767,114,1636.5654105111803,16,1419.468170692236
139,Raonic M.,1810,548,1741.2097167859276,101,1673.1787248766168,0,1500.0,0,1500.0,276,1709.2150558104406,97,1705.8027765596405,74,1754.2557196588536
140,Kudla D.,837,200,1435.694056320364,21,1406.3254647814156,0,1500.0,0,1500.0,104,1422.2243706851837,23,1392.9640701467624,52,1516.7054302603879
141,Kamke T.,450,163,1535.2848255025156,43,1494.925588348362,0,1500.0,0,1500.0,53,1423.2437188421902,43,1543.1548861354179,24,1515.2530426847386
142,Chung H.,889,138,1664.4075556546557,17,1508.5619077637728,0,1500.0,0,1500.0,89,1615.9121766155456,29,1563.167475520185,3,1479.8254493668032
143,Troicki V.,915,527,1672.3513297492896,102,1587.75472111713,12,1499.6318630522933,0,1500.0,232,1676.4840144370871,118,1619.7984778081343,63,1551.098198183351
144,Thiem D.,3895,536,1773.4815840759666,106,1678.1640147827377,0,1500.0,1,1486.8336734782492,168,1688.0744159066169,229,1779.8891996529917,32,1528.420044944959
145,Dodig I.,1185,245,1630.10485287316,60,1555.5328056777419,3,1515.6731637994133,0,1500.0,95,1542.3241227862725,57,1487.6448409762,30,1554.701802664774
